bucket,avg_fwd_ret,date,feature_set,model,horizon_days
1,0.015321585919853886,2023-05-24,F1_momentum,logistic_regression,1
2,0.016364785244477487,2023-05-24,F1_momentum,logistic_regression,1
3,0.007262720214519625,2023-05-24,F1_momentum,logistic_regression,1
4,0.029042548815649383,2023-05-24,F1_momentum,logistic_regression,1
5,0.038190077494086316,2023-05-24,F1_momentum,logistic_regression,1
1,0.0064336372030908695,2023-05-25,F1_momentum,logistic_regression,1
2,0.0007177548320582705,2023-05-25,F1_momentum,logistic_regression,1
3,-0.01486860960693176,2023-05-25,F1_momentum,logistic_regression,1
4,0.0007519649739056167,2023-05-25,F1_momentum,logistic_regression,1
5,-0.0033547520048862745,2023-05-25,F1_momentum,logistic_regression,1
1,-0.04008346868962687,2023-05-26,F1_momentum,logistic_regression,1
2,-0.02796336440469771,2023-05-26,F1_momentum,logistic_regression,1
3,-0.022992267853899795,2023-05-26,F1_momentum,logistic_regression,1
4,-0.05449632954956085,2023-05-26,F1_momentum,logistic_regression,1
5,-0.034818530789919866,2023-05-26,F1_momentum,logistic_regression,1
1,-0.005239294515107962,2023-05-29,F1_momentum,logistic_regression,1
2,-0.015028571459169693,2023-05-29,F1_momentum,logistic_regression,1
3,-0.017260046962268627,2023-05-29,F1_momentum,logistic_regression,1
4,-0.008564699532493947,2023-05-29,F1_momentum,logistic_regression,1
5,-0.018923373587064474,2023-05-29,F1_momentum,logistic_regression,1
1,0.0016856483787321963,2023-05-30,F1_momentum,logistic_regression,1
2,-0.008321482806207592,2023-05-30,F1_momentum,logistic_regression,1
3,0.0014320389503629793,2023-05-30,F1_momentum,logistic_regression,1
4,-0.003206356180310177,2023-05-30,F1_momentum,logistic_regression,1
5,-0.017793834044731505,2023-05-30,F1_momentum,logistic_regression,1
1,-0.009734017099557568,2023-05-31,F1_momentum,logistic_regression,1
2,-0.009595594517932793,2023-05-31,F1_momentum,logistic_regression,1
3,-0.017757119539213384,2023-05-31,F1_momentum,logistic_regression,1
4,-0.005739290335497915,2023-05-31,F1_momentum,logistic_regression,1
